"table","legacy_field","curated_field","curated_type","sentinel_rows","vocab_candidates","sentinel_no_vocab","already_in_known_issues","already_in_issue_report","already_self_documented","in_spreadsheet","spreadsheet_conflict"
"LT","LTSRC","LTSRC","enum",35946,1,FALSE,FALSE,TRUE,TRUE,TRUE,NA
"LT","LTSZC","LTSZC","string",14736,1,FALSE,FALSE,TRUE,TRUE,TRUE,NA
"LT","LT_Items","LT_Items","number(quantity)",0,0,FALSE,FALSE,FALSE,FALSE,TRUE,NA
"LT","LT_Weight","LT_Weight","number(quantity)",0,0,FALSE,FALSE,FALSE,TRUE,TRUE,NA
"LT","MSFDArea","MSFDArea","string",0,0,FALSE,FALSE,FALSE,FALSE,FALSE,NA
"LT","Month","Month","enum",0,2,FALSE,FALSE,TRUE,FALSE,FALSE,NA
"LT","NMArea","NMArea","string",0,0,FALSE,FALSE,FALSE,FALSE,FALSE,NA
"LT","Netopening","NetOpening","number(quantity)",24717,0,FALSE,FALSE,FALSE,TRUE,FALSE,NA
"LT","OSPARArea","OSPARArea","string",0,0,FALSE,FALSE,FALSE,FALSE,FALSE,NA
"LT","PARAM","PARAM","string",0,1,FALSE,TRUE,TRUE,FALSE,TRUE,NA
"LT","Quarter","Quarter","enum",0,2,FALSE,TRUE,TRUE,FALSE,TRUE,NA
"LT","Rigging","Rigging","enum",50357,1,FALSE,FALSE,TRUE,TRUE,FALSE,NA
"LT","Ship","Platform","string",0,1,FALSE,TRUE,TRUE,FALSE,TRUE,NA
"LT","ShootLat","ShootLatitude","number(quantity)",0,0,FALSE,FALSE,FALSE,FALSE,FALSE,NA
"LT","ShootLong","ShootLongitude","number(quantity)",0,0,FALSE,FALSE,FALSE,TRUE,FALSE,NA
"LT","SpeedWater","SpeedWater","number(quantity)",41502,0,FALSE,FALSE,FALSE,TRUE,FALSE,NA
"LT","StNo","StationName","string",6928,0,FALSE,TRUE,TRUE,TRUE,TRUE,NA
"LT","StatRec","StatisticalRectangle","string",50,1,FALSE,FALSE,TRUE,TRUE,FALSE,NA
"LT","Survey","Survey","string",0,2,FALSE,TRUE,TRUE,FALSE,TRUE,NA
"LT","SweepLngt","SweepLength","number(quantity)",0,0,FALSE,FALSE,TRUE,FALSE,FALSE,NA
"LT","SwellDir","SwellDirection","number(quantity)",28459,0,FALSE,FALSE,FALSE,TRUE,FALSE,NA
"LT","SwellHeight","SwellHeight","number(quantity)",19005,1,FALSE,TRUE,TRUE,FALSE,FALSE,NA
"LT","TYPPL","TYPPL","string",75148,1,FALSE,FALSE,TRUE,TRUE,TRUE,NA
"LT","Tickler","Tickler","enum",30690,1,FALSE,TRUE,TRUE,TRUE,FALSE,NA
"LT","TimeShot","StartTime","string",0,0,FALSE,FALSE,TRUE,FALSE,FALSE,NA
"LT","TowDir","TowDirection","number(quantity)",2384,0,FALSE,FALSE,FALSE,TRUE,FALSE,NA
"LT","UnitItem","UnitItem","string",36,0,FALSE,FALSE,FALSE,TRUE,TRUE,NA
"LT","UnitWgt","UnitWeight","string",4144,0,FALSE,FALSE,FALSE,TRUE,TRUE,NA
"LT","WarpDen","WarpDensity","number(quantity)",45440,0,FALSE,FALSE,FALSE,TRUE,FALSE,NA
"LT","Warpdia","WarpDiameter","number(quantity)",28755,0,FALSE,FALSE,FALSE,TRUE,FALSE,NA
"LT","Warplngt","WarpLength","number(quantity)",759,0,FALSE,FALSE,FALSE,TRUE,FALSE,NA
"LT","WindDir","WindDirection","number(quantity)",5119,0,FALSE,FALSE,FALSE,TRUE,FALSE,NA
"LT","WindSpeed","WindSpeed","number(quantity)",5585,0,TRUE,TRUE,FALSE,FALSE,FALSE,NA
"LT","WingSpread","WingSpread","number(quantity)",31038,0,FALSE,FALSE,FALSE,TRUE,FALSE,NA
"LT","Year","Year","number(ordinal)",0,1,FALSE,TRUE,TRUE,FALSE,TRUE,"DataType: spreadsheet=char vs WSDL=int"
